,tweet_id,user_id,user_listed,user_followers,retweeted,retweet_count,favorited,favorite_count
1779,677557565589463040,4196983835,4075,5621846,False,1295,False,2626
1780,677547928504967168,4196983835,4075,5621846,False,4007,False,7439
1781,677530072887205888,4196983835,4075,5621846,False,247,False,1143
1782,677335745548390400,4196983835,4075,5621846,False,1986,False,3275
1783,677334615166730240,4196983835,4075,5621846,False,325,False,1458
1784,677331501395156992,4196983835,4075,5621846,False,263,False,1171
1785,677328882937298944,4196983835,4075,5621847,False,1659,False,3891
1786,677314812125323265,4196983835,4075,5621847,False,600,False,1765
1787,677301033169788928,4196983835,4075,5621847,False,460,False,1337
1788,677269281705472000,4196983835,4075,5621847,False,777,False,2129
1789,677228873407442944,4196983835,4075,5621847,False,1809,False,3781
1790,677187300187611136,4196983835,4075,5621847,False,1015,False,2926
1791,676975532580409345,4196983835,4075,5621847,False,1181,False,2968
1792,676957860086095872,4196983835,4075,5621848,False,894,False,2358
1793,676949632774234114,4196983835,4075,5621848,False,439,False,1388
1794,676948236477857792,4196983835,4075,5621848,False,966,False,2316
1795,676946864479084545,4196983835,4075,5621848,False,418,False,1819
1796,676942428000112642,4196983835,4075,5621848,False,844,False,2221
1797,676936541936185344,4196983835,4075,5621848,False,5419,False,13615
1798,676916996760600576,4196983835,4075,5621848,False,1975,False,3180
1799,676897532954456065,4196983835,4075,5621848,False,804,False,2394
1800,676864501615042560,4196983835,4075,5621848,False,786,False,2248
1801,676821958043033607,4196983835,4075,5621849,False,17253,False,24739
1802,676819651066732545,4196983835,4075,5621849,False,727,False,1927
1803,676811746707918848,4196983835,4075,5621849,False,466,False,1512
1804,676776431406465024,4196983835,4075,5621849,False,2209,False,5315
1805,676617503762681856,4196983835,4075,5621849,False,1085,False,3097
1806,676613908052996102,4196983835,4075,5621849,False,213,False,1159
1807,676606785097199616,4196983835,4075,5621849,False,485,False,2012
1808,676603393314578432,4196983835,4075,5621849,False,432,False,1252
1809,676593408224403456,4196983835,4075,5621849,False,2373,False,4884
1810,676590572941893632,4196983835,4075,5621850,False,140,False,983
1811,676588346097852417,4196983835,4075,5621850,False,879,False,2493
1812,676582956622721024,4196983835,4075,5621850,False,309,False,1291
1813,676575501977128964,4196983835,4075,5621850,False,1242,False,2766
1814,676533798876651520,4196983835,4075,5621850,False,608,False,2003
1815,676496375194980353,4196983835,4075,5621850,False,592,False,1612
1816,676470639084101634,4196983835,4075,5621850,False,5130,False,12456
1817,676440007570247681,4196983835,4075,5621850,False,734,False,1836
1818,676430933382295552,4196983835,4075,5621850,False,378,False,1491
1819,676263575653122048,4196983835,4075,5621850,False,599,False,2209
1820,676237365392908289,4196983835,4075,5621850,False,329,False,1304
1821,676219687039057920,4196983835,4075,5621850,False,34057,False,79104
1822,676215927814406144,4196983835,4075,5621850,False,648,False,1854
1823,676191832485810177,4196983835,4075,5621850,False,1129,False,2434
1824,676146341966438401,4196983835,4075,5621850,False,730,False,2050
1825,676121918416756736,4196983835,4075,5621850,False,1278,False,2296
1826,676101918813499392,4196983835,4075,5621850,False,1266,False,2994
1827,676098748976615425,4196983835,4075,5621850,False,1582,False,3221
1828,676089483918516224,4196983835,4075,5621850,False,472,False,1402
1829,675898130735476737,4196983835,4075,5621850,False,643,False,1747
1830,675891555769696257,4196983835,4075,5621850,False,957,False,2268
1831,675888385639251968,4196983835,4075,5621850,False,1053,False,2541
1832,675878199931371520,4196983835,4075,5621850,False,1545,False,4457
1833,675870721063669760,4196983835,4075,5621850,False,622,False,1753
1834,675853064436391936,4196983835,4075,5621850,False,1433,False,2876
1835,675849018447167488,4196983835,4075,5621850,False,167,False,1006
1836,675845657354215424,4196983835,4075,5621850,False,981,False,2439
1837,675822767435051008,4196983835,4075,5621850,False,581,False,1628
1838,675820929667219457,4196983835,4075,5621850,False,252,False,1121
